StateCode,Division,Year,Month,PCP,TAVG,PDSI,PHDI,ZNDX,PMDI,CDD,HDD,SP01,SP02,SP03,SP06,SP09,SP12,SP24,TMIN,TMAX
106,0,1991,10,3.07,64.6,2.44,2.44,0.55,2.44,143,71,0.4,0.68,0.69,0.95,1.21,1.39,1.55,51,78.2
106,0,1991,11,2.46,47.7,2.39,2.39,0.61,2.39,8,427,0.15,0.29,0.57,0.56,1.17,1.39,1.83,36.5,58.9
106,0,1991,12,5.11,46.7,3.42,3.42,3.82,3.42,11,465,2.24,1.51,1.2,1.35,1.99,1.87,1.93,37.5,55.9
106,0,1992,1,3.17,43.2,3.86,3.86,2.38,3.86,7,598,1.02,2.38,1.75,1.65,1.84,1.83,1.89,33.2,53.2
106,0,1992,2,3.44,50.5,4.05,4.05,1.76,4.05,21,345,1.33,1.52,2.53,1.89,1.87,2.14,1.9,38.9,62
106,0,1992,3,2.99,55.8,3.67,3.67,0.11,3.65,52,254,0.32,1.07,1.32,1.59,1.87,2.39,1.76,43.3,68.3
106,0,1992,4,2.5,62,3.04,3.04,-0.74,2.68,75,103,-0.55,-0.14,0.47,1.37,1.57,1.73,1.57,49.7,74.3
106,0,1992,5,4.03,68,2.94,2.94,0.63,2.76,175,29,0.1,-0.3,-0.07,1.4,1.41,1.42,1.45,56.8,79.2
106,0,1992,6,5.61,75.5,3.82,3.82,3.55,3.82,376,4,1.61,1.1,0.63,1.15,1.55,1.78,2.05,64.7,86.2
106,0,1992,7,4.01,80.1,4.45,4.45,3.07,4.45,505,0,0.84,1.66,1.29,1.12,1.66,1.85,2.12,69.2,91
106,0,1992,8,3.31,76.1,5.04,5.04,3.15,5.04,394,4,0.47,0.75,1.58,0.86,1.86,1.83,2.02,64.8,87.3
106,0,1992,9,2.66,73.6,4.45,4.45,-0.23,4.3,325,9,-0.39,-0.09,0.29,0.63,1.11,1.45,2.16,61.7,85.5
106,0,1992,10,1.33,64.2,3.51,3.51,-1.43,2.78,128,78,-1.05,-0.94,-0.67,0.34,0.5,1.1,2.05,50.1,78.3
106,0,1992,11,4.46,48.9,4.28,4.28,3.38,4.28,10,395,1.54,0.41,0.12,1.02,0.68,1.55,2.65,38.3,59.4
106,0,1992,12,3.08,44.4,4.59,4.59,2.25,4.59,10,509,0.69,1.5,0.53,0.58,0.76,1.15,1.94,34.5,54.2
106,0,1993,1,3.11,41.2,4.92,4.92,2.43,4.92,12,616,0.96,1.06,1.71,0.61,1.24,1.17,1.9,31.7,50.8
106,0,1993,2,2.37,44.1,4.69,4.69,0.82,4.69,10,478,0.21,0.79,0.92,0.54,1.32,0.95,1.98,33.1,55.1
106,0,1993,3,3.06,51.8,4.5,4.5,0.88,4.5,29,347,0.39,0.37,0.76,0.76,0.84,0.98,2.19,40.2,63.4
106,0,1993,4,3.55,59.2,4.47,4.47,1.3,4.47,47,159,0.45,0.53,0.5,1.36,0.71,1.25,1.9,46.9,71.4
106,0,1993,5,4.73,68.4,4.52,4.52,1.52,4.52,177,27,0.65,0.7,0.73,0.99,0.74,1.44,1.85,57,79.8
106,0,1993,6,4.45,77.3,4.61,4.61,1.67,4.61,407,1,0.73,0.86,0.87,1.02,1.01,1.09,2.02,66.7,87.8
106,0,1993,7,2.95,82.3,4.46,4.46,0.96,4.46,564,0,-0.24,0.37,0.61,0.7,1.32,0.82,1.99,71.3,93.2
106,0,1993,8,2.7,81.7,3.97,3.97,-0.09,3.88,565,0,-0.13,-0.37,0.13,0.54,0.83,0.64,1.71,69.8,93.6
106,0,1993,9,3.19,72.4,3.62,3.62,0.2,3.55,319,15,0.09,-0.14,-0.3,0.45,0.71,0.75,1.75,59.7,85.1
