StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
      106,      00,   201312,   2.21,   41.5,   -.01,  -1.03,   -.03,    .14,      4,    629,   -.18,   -.07,     .2,    .44,    .17,    .31,   -.29,   30.1,   52.8,
      106,      00,   201401,    .78,   39.8,   -.59,   -1.5,  -1.73,   -.83,      4,    695,  -1.76,  -1.29,   -.83,   -.24,   -.26,   -.31,   -.51,     26,   53.6,
      106,      00,   201402,   1.73,   42.9,   -.77,  -1.59,   -.74,  -1.03,      7,    520,   -.53,  -1.56,  -1.29,   -.28,   -.35,   -.54,    -.7,   31.3,   54.6,
      106,      00,   201403,   2.09,   50.6,   -.83,  -1.57,   -.42,  -1.07,     19,    384,   -.64,   -.81,  -1.45,   -.66,   -.36,   -.42,  -1.03,     37,   64.3,
      106,      00,   201404,   2.54,   62.2,   -.99,  -1.65,   -.72,  -1.31,     87,    100,    -.5,   -.73,    -.9,  -1.09,   -.67,   -.59,  -1.06,     49,   75.5,
      106,      00,   201405,   4.22,   70.1,    .13,  -1.35,    .38,   -.81,    216,     16,    .25,   -.16,    -.4,   -1.1,   -.53,   -.53,   -.79,   57.5,   82.7,
      106,      00,   201406,   4.91,   78.6,     .8,     .8,   2.05,     .8,    441,      1,   1.09,    .83,    .43,   -.47,   -.33,   -.12,   -.41,   68.2,   88.9,
      106,      00,   201407,   3.37,   79.2,   1.36,   1.36,   1.94,   1.36,    481,      1,     .2,    .89,    .77,    .02,    -.4,   -.19,   -.37,   68.1,   90.3,
      106,      00,   201408,   2.51,     81,   1.36,   1.36,    .41,   1.36,    541,      0,   -.35,   -.21,    .47,   -.02,   -.56,   -.24,   -.45,   69.3,   92.8,
      106,      00,   201409,   3.13,   74.6,   -.07,   1.15,   -.21,    .95,    362,      7,    .04,    -.3,   -.21,    .17,    -.5,   -.36,   -.62,   63.9,   85.4,
      106,      00,   201410,    2.8,   66.6,   -.13,    .97,   -.19,    .57,    178,     51,    .23,    .12,   -.15,    .34,   -.12,   -.44,   -.43,   53.5,   79.6,
      106,      00,   201411,   2.45,     48,   -.04,    .94,    .22,     .6,      9,    424,    .14,    .16,    .09,     .3,    .01,   -.46,   -.22,   35.9,   60.1,
      106,      00,   201412,   2.05,   46.8,   -.34,   -.34,   -.92,   -.34,     13,    458,   -.36,   -.19,    -.1,   -.25,    .03,   -.49,   -.11,   37.7,   55.9,
      106,      00,   201501,   2.67,   41.2,    .11,    .11,    .34,   -.19,      5,    653,    .55,    .04,    .02,   -.15,    .26,   -.11,   -.25,   30.1,   52.3,
      106,      00,   201502,   1.68,   42.7,    .02,    .02,   -.24,   -.25,      5,    542,   -.59,   -.01,   -.29,   -.16,    .08,   -.14,   -.41,   30.8,   54.6,
      106,      00,   201503,   3.78,     54,    .56,    .56,   1.62,    .56,     38,    298,   1.12,    .39,    .54,    .18,    .01,    .22,    -.1,   42.6,   65.6,
      106,      00,   201504,   4.59,   64.4,    1.1,    1.1,   1.78,    1.1,    131,     68,   1.23,    1.4,   1.01,     .6,    .37,    .67,    .11,     53,   75.7,
      106,      00,   201505,   9.44,   69.6,   3.62,   3.62,   7.91,   3.62,    245,     22,   3.09,   3.09,   2.81,   2.27,   1.92,   2.02,    .94,   59.4,   79.8,
      106,      00,   201506,   3.99,   78.7,   3.51,   3.51,    .79,   3.51,    443,      0,    .37,      3,   2.87,   2.29,   1.81,   1.67,   1.09,     68,   89.2,
      106,      00,   201507,   3.34,   82.4,   3.47,   3.47,    .96,   3.47,    573,      0,    .17,    .33,   2.66,   2.27,    1.8,   1.56,   1.01,   71.5,   93.3,
      106,      00,   201508,   2.17,   80.8,   2.84,   2.84,   -.82,   2.45,    537,      1,   -.78,   -.46,   -.16,   2.37,   1.75,   1.44,     .9,   68.5,     93,
      106,      00,   201509,   1.66,   77.4,   1.55,   1.55,  -2.98,   -.06,    408,      2,  -1.36,  -1.51,  -1.12,   1.62,    1.5,   1.08,    .57,   65.2,   89.7,
      106,      00,   201510,   4.98,   66.3,   2.24,   2.24,   2.54,   1.61,    172,     55,    1.4,    .46,    .02,   1.93,   1.86,   1.54,    .79,   53.8,   78.7,
      106,      00,   201511,   5.41,   55.3,   3.41,   3.41,    4.2,   3.41,     47,    236,   2.08,   2.17,   1.44,   1.08,   2.61,   2.19,   1.32,   44.5,   66.1,
      106,      00,   201512,   4.09,   49.5,   4.28,   4.28,   3.67,   4.28,     24,    383,   1.52,   2.42,    2.5,   1.51,   2.91,   2.58,   1.38,   37.9,   61.1,
      106,      00,   201601,   1.42,   42.6,   3.82,   3.82,   -.06,   3.74,      9,    605,   -.85,     .6,   1.83,   1.19,   2.87,   2.45,   1.49,   31.2,   54.1,
      106,      00,   201602,   1.66,   50.6,   3.09,   3.09,     -1,   2.57,     23,    342,   -.62,  -1.04,    .15,   1.23,    .96,   2.56,   1.54,     37,   64.2,
      106,      00,   201603,   4.48,   58.3,   3.41,   3.41,   1.91,   3.41,     79,    201,   1.79,    .87,    .23,    2.1,   1.38,   2.79,   1.93,   45.5,   71.2,
      106,      00,   201604,   5.11,   63.8,   3.95,   3.95,   2.65,   3.95,    112,     74,   1.58,   1.93,   1.54,   2.16,   1.84,   3.09,    2.3,   51.7,     76,
      106,      00,   201605,   4.54,   69.1,    3.9,    3.9,   1.08,    3.9,    222,     25,    .51,   1.36,   1.73,   1.42,   2.15,   1.87,   2.38,     58,   80.2,
      106,      00,   201606,   3.42,   79.6,   3.45,   3.45,   -.15,   3.33,    468,      0,   -.09,    .22,   1.01,    .85,   2.23,   1.62,   2.31,   68.4,   90.7,
      106,      00,   201607,   3.08,   83.6,   3.04,   3.04,   -.15,   2.81,    603,      0,   -.11,   -.16,    .11,   1.04,   1.63,   1.47,   2.26,   72.2,     95,
      106,      00,   201608,   5.83,   80.7,   4.22,   4.22,   4.46,   4.22,    534,      0,   2.23,    1.8,   1.26,   2.11,   1.73,    2.3,   2.42,   70.3,     91,
      106,      00,   201609,   3.01,   76.5,   -.24,   3.54,   -.71,   3.21,    414,      3,   -.07,   1.69,   1.34,   1.55,   1.31,   2.49,   2.81,   65.1,   87.8,
      106,      00,   201610,    .99,   68.6,  -1.17,   2.22,  -2.87,    .74,    215,     32,  -1.52,   -.94,    .46,    .32,   1.03,   1.59,    2.7,   55.2,     82,
      106,      00,   201611,   2.15,   58.1,   -1.6,   1.45,  -1.64,   -.62,     70,    178,   -.11,  -1.07,   -.89,    .08,   1.08,    .97,   2.95,   45.8,   70.4,
      106,      00,   201612,   2.48,   45.1,  -1.76,    .97,   -.98,  -1.33,     15,    489,    .11,   -.11,   -.84,    .15,    .67,    .66,   2.09,   34.3,   55.9,
      106,      00,   201701,   3.01,     47,  -1.65,     .8,   -.21,  -1.42,     33,    456,    .87,    .59,    .26,    .45,    .37,   1.01,   2.18,   35.9,   58.2,
      106,      00,   201702,   1.78,   54.8,  -2.17,  -2.17,  -2.07,  -2.17,     60,    240,   -.47,    .31,    .21,   -.59,    .13,   1.04,   2.28,   41.6,   67.9,
      106,      00,   201703,   2.68,   59.6,  -2.38,  -2.38,   -1.3,  -2.38,    102,    176,      0,   -.33,    .18,   -.52,    .17,    .65,   2.22,     47,   72.1,
      106,      00,   201704,   4.59,   64.6,    .58,  -1.56,   1.74,   -.74,    131,     66,   1.23,    .88,    .53,    .43,     .6,    .53,   2.22,   52.5,   76.8,
      106,      00,   201705,   4.38,   69.4,    .78,  -1.14,    .78,    .04,    223,     22,    .38,   1.04,    .85,    .69,   -.09,    .48,   1.53,   56.9,   81.8,
      106,      00,   201706,   4.18,   78.4,   1.07,   -.65,    1.1,    .95,    428,      1,    .52,    .53,   1.04,    .84,     .1,    .64,   1.61,   67.2,   89.6,
      106,      00,   201707,   3.22,   82.4,   1.28,   1.28,    .97,   1.28,    569,      0,    .04,    .37,    .45,    .62,    .57,    .66,   1.59,     71,   93.7,
      106,      00,   201708,   6.84,   78.7,   3.42,   3.42,   6.82,   3.42,    486,      2,   2.77,   2.54,    2.3,   1.93,   1.61,    .83,   2.07,   68.6,   88.8,
      106,      00,   201709,   2.31,   74.8,   -.32,   2.75,   -.95,   2.32,    351,      5,   -.71,   1.87,   1.59,   1.73,   1.42,    .67,   2.47,   62.8,   86.7,
      106,      00,   201710,   2.07,   64.5,    -.5,   2.25,   -.65,    1.5,    134,     72,   -.32,    -.7,   1.03,   1.01,   1.01,    .92,   2.06,   51.3,   77.7,
      106,      00,   201711,    .75,   56.4,  -1.45,   1.02,     -3,   -.91,     59,    214,  -1.65,  -1.29,  -1.39,    .36,    .71,    .67,   1.24,     44,   68.7,
      106,      00,   201712,   2.41,   44.5,  -1.61,     .6,   -.94,  -1.56,      5,    536,    .04,  -1.09,  -1.02,    .17,     .7,    .67,    .86,   33.1,     56,
      106,      00,   201801,   1.39,   39.8,  -2.07,  -2.07,  -1.87,  -2.07,      4,    699,   -.89,   -.64,  -1.31,    -.1,    .12,    .34,    .88,   26.8,   52.8,
