,Unnamed: 0,gmsl_change,month,year
0,0,0.0,1.0,1993.0
1,1,1.0866666666666873,2.0,1993.0
2,2,4.3100000000000165,3.0,1993.0
3,3,3.5958333333333456,4.0,1993.0
4,4,0.8800000000000168,5.0,1993.0
5,5,3.633333333333347,6.0,1993.0
6,6,5.050000000000011,7.0,1993.0
7,7,7.363333333333344,8.0,1993.0
8,8,8.43333333333334,9.0,1993.0
9,9,12.206666666666674,10.0,1993.0
10,10,8.366666666666674,11.0,1993.0
11,11,10.84000000000001,12.0,1993.0
12,12,9.010000000000009,1.0,1994.0
13,13,3.9166666666666785,2.0,1994.0
14,14,8.493333333333343,3.0,1994.0
15,15,8.37666666666668,4.0,1994.0
16,16,4.140833333333347,5.0,1994.0
17,17,3.083333333333343,6.0,1994.0
18,18,6.956666666666678,7.0,1994.0
19,19,9.643333333333345,8.0,1994.0
20,20,13.143333333333345,9.0,1994.0
21,21,15.476666666666674,10.0,1994.0
22,22,14.073333333333341,11.0,1994.0
23,23,15.166666666666675,12.0,1994.0
24,24,14.586666666666673,1.0,1995.0
25,25,9.760000000000009,2.0,1995.0
26,26,12.493333333333343,3.0,1995.0
27,27,9.690000000000015,4.0,1995.0
28,28,6.623333333333342,5.0,1995.0
29,29,8.43333333333334,6.0,1995.0
30,30,8.225833333333345,7.0,1995.0
31,31,12.87666666666668,8.0,1995.0
32,32,19.316666666666677,9.0,1995.0
33,33,15.023333333333344,10.0,1995.0
34,34,10.063333333333343,11.0,1995.0
35,35,16.506666666666675,12.0,1995.0
36,36,8.623333333333346,1.0,1996.0
37,37,12.240000000000013,2.0,1996.0
38,38,11.073333333333345,3.0,1996.0
39,39,9.630000000000013,4.0,1996.0
40,40,11.930000000000014,5.0,1996.0
41,41,9.890000000000015,6.0,1996.0
42,42,14.276666666666674,7.0,1996.0
43,43,14.890833333333344,8.0,1996.0
44,44,20.46666666666668,9.0,1996.0
45,45,21.89666666666668,10.0,1996.0
46,46,19.860000000000014,11.0,1996.0
47,47,16.198333333333345,12.0,1996.0
48,48,12.708333333333343,1.0,1997.0
49,49,9.970000000000013,2.0,1997.0
50,50,12.960000000000015,3.0,1997.0
51,51,12.203333333333344,4.0,1997.0
52,52,14.436666666666678,5.0,1997.0
53,53,12.250000000000014,6.0,1997.0
54,54,17.490000000000013,7.0,1997.0
55,55,19.66666666666667,8.0,1997.0
56,56,28.068333333333342,9.0,1997.0
57,57,28.213333333333345,10.0,1997.0
58,58,24.386666666666677,11.0,1997.0
59,59,18.908333333333346,12.0,1997.0
60,60,16.573333333333345,1.0,1998.0
61,61,17.113333333333344,2.0,1998.0
62,62,17.303333333333345,3.0,1998.0
63,63,17.300000000000015,4.0,1998.0
64,64,14.056666666666676,5.0,1998.0
65,65,11.393333333333345,6.0,1998.0
66,66,12.590000000000014,7.0,1998.0
67,67,13.116666666666674,8.0,1998.0
68,68,17.013333333333346,9.0,1998.0
69,69,18.830000000000016,10.0,1998.0
70,70,17.553333333333345,11.0,1998.0
71,71,14.793333333333344,12.0,1998.0
72,72,13.776666666666678,1.0,1999.0
73,73,15.520000000000014,2.0,1999.0
74,74,17.540000000000013,3.0,1999.0
75,75,15.573333333333345,4.0,1999.0
76,76,15.166666666666675,5.0,1999.0
77,77,13.490000000000013,6.0,1999.0
78,78,15.983333333333345,7.0,1999.0
79,79,18.870000000000008,8.0,1999.0
80,80,24.133333333333347,9.0,1999.0
81,81,27.52000000000001,10.0,1999.0
82,82,25.51666666666668,11.0,1999.0
83,83,25.973333333333343,12.0,1999.0
84,84,22.04333333333335,1.0,2000.0
85,85,18.93333333333334,2.0,2000.0
86,86,20.776666666666678,3.0,2000.0
87,87,18.910000000000018,4.0,2000.0
88,88,16.298333333333346,5.0,2000.0
89,89,15.420000000000016,6.0,2000.0
90,90,17.733333333333345,7.0,2000.0
91,91,22.25000000000001,8.0,2000.0
92,92,27.39000000000001,9.0,2000.0
93,93,33.076666666666675,10.0,2000.0
94,94,28.213333333333345,11.0,2000.0
95,95,24.373333333333342,12.0,2000.0
96,96,23.930000000000014,1.0,2001.0
97,97,23.466666666666676,2.0,2001.0
98,98,24.970000000000013,3.0,2001.0
99,99,24.853333333333346,4.0,2001.0
100,100,21.350000000000012,5.0,2001.0
101,101,22.713333333333345,6.0,2001.0
102,102,26.493333333333347,7.0,2001.0
103,103,28.48666666666668,8.0,2001.0
104,104,36.73000000000001,9.0,2001.0
105,105,32.73000000000001,10.0,2001.0
106,106,33.073333333333345,11.0,2001.0
107,107,28.663333333333345,12.0,2001.0
108,108,26.84666666666668,1.0,2002.0
109,109,28.45000000000001,2.0,2002.0
110,110,25.210000000000008,3.0,2002.0
111,111,25.653333333333343,4.0,2002.0
112,112,24.36666666666668,5.0,2002.0
113,113,22.656666666666677,6.0,2002.0
114,114,28.093333333333348,7.0,2002.0
115,115,33.518333333333345,8.0,2002.0
116,116,35.87333333333334,9.0,2002.0
117,117,39.17000000000001,10.0,2002.0
118,118,35.99333333333335,11.0,2002.0
119,119,33.55333333333335,12.0,2002.0
120,120,32.173333333333346,1.0,2003.0
121,121,31.46666666666668,2.0,2003.0
122,122,31.336666666666677,3.0,2003.0
123,123,30.043333333333344,4.0,2003.0
124,124,29.12000000000001,5.0,2003.0
125,125,27.043333333333344,6.0,2003.0
126,126,30.213333333333345,7.0,2003.0
127,127,33.59000000000001,8.0,2003.0
128,128,38.72333333333334,9.0,2003.0
129,129,40.24000000000001,10.0,2003.0
130,130,35.87666666666668,11.0,2003.0
131,131,36.573333333333345,12.0,2003.0
132,132,36.70000000000001,1.0,2004.0
133,133,31.336666666666677,2.0,2004.0
134,134,33.283333333333346,3.0,2004.0
135,135,31.976666666666677,4.0,2004.0
136,136,27.360000000000014,5.0,2004.0
137,137,29.193333333333342,6.0,2004.0
138,138,32.250000000000014,7.0,2004.0
139,139,36.10000000000001,8.0,2004.0
140,140,40.69000000000001,9.0,2004.0
141,141,40.53833333333334,10.0,2004.0
142,142,39.31666666666668,11.0,2004.0
143,143,40.698333333333345,12.0,2004.0
144,144,35.58333333333334,1.0,2005.0
145,145,37.250000000000014,2.0,2005.0
146,146,37.923333333333346,3.0,2005.0
147,147,35.59833333333334,4.0,2005.0
148,148,35.01333333333335,5.0,2005.0
149,149,34.99666666666668,6.0,2005.0
150,150,37.38000000000001,7.0,2005.0
151,151,39.44666666666668,8.0,2005.0
152,152,45.13333333333335,9.0,2005.0
153,153,44.05666666666668,10.0,2005.0
154,154,47.19333333333334,11.0,2005.0
155,155,43.94000000000001,12.0,2005.0
156,156,38.09333333333335,1.0,2006.0
157,157,37.28000000000001,2.0,2006.0
158,158,36.74333333333335,3.0,2006.0
159,159,35.59333333333335,4.0,2006.0
160,160,35.798333333333346,5.0,2006.0
