Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,1991-1990,1992-1991,1993-1992,1994-1993,1995-1994,1996-1995,1997-1996,1998-1997,1999-1998,2000-1999,2001-2000,2002-2001,2003-2002,2004-2003,2005-2004,2006-2005,2007-2006,2008-2007,2009-2008,2010-2009,2011-2010,2012-2011
Afghanistan,12249114.0,12993657.0,13981231.0,15095099.0,16172719.0,17099541.0,17822884.0,18381605.0,18863999.0,19403676.0,20093756.0,20966463.0,21979923.0,23064851.0,24118979.0,25070798.0,25893450.0,26616792.0,27294031.0,28004331.0,28803167.0,29708599.0,30696958.0,5.730049669619569,7.0635697242968085,7.379004271518855,6.663196213326899,5.420157184336118,4.0585070295020715,3.039565913857903,2.55722023734204,2.7813131903459944,3.434300685247696,4.162394963804815,4.6108441781165475,4.703815342227878,4.370533263451989,3.796524546207105,3.1770660147643515,2.7176152558129467,2.4812714545535615,2.536393388579788,2.7734311299865047,3.0477101932676125,3.2197294598376813
Angola,12171441.0,12553446.0,12968345.0,13403734.0,13841301.0,14268994.0,14682284.0,15088981.0,15504318.0,15949766.0,16440924.0,16983266.0,17572649.0,18203369.0,18865716.0,19552542.0,20262399.0,20997687.0,21759420.0,22549547.0,23369131.0,24218565.0,25096150.0,3.043028981842914,3.199321116148591,3.248266490516747,3.1613140990142474,2.99735916911872,2.814889018629527,2.6953244887776053,2.6788472733853883,2.7928184024768763,2.9874111698344934,3.193390482136946,3.353979243539207,3.4648531269129355,3.510850052020289,3.5127197271843222,3.503321595828806,3.501757122105878,3.5007045224551026,3.5039595252179567,3.5071222802422564,3.507367178856385,3.4968909573779245
Albania,3286542.0,3266790.0,3247039.0,3227287.0,3207536.0,3187784.0,3168033.0,3148281.0,3128530.0,3108778.0,3089027.0,3060173.0,3051010.0,3039616.0,3026939.0,3011487.0,2992547.0,2970017.0,2947314.0,2927519.0,2913021.0,2905195.0,2900401.0,-0.6046302333483328,-0.6082772643014143,-0.6120310960878286,-0.6157686149118825,-0.6196153817197151,-0.6234467885909016,-0.6273899947304578,-0.631318862213244,-0.6353621905456099,-0.6393922746547699,-0.9428878694113044,-0.3003267770344902,-0.3748499810502379,-0.4188059290259896,-0.5131019991120666,-0.6329056820160218,-0.7585815165367741,-0.770294580082068,-0.676169821613455,-0.497696377746676,-0.26937950808809735,-0.16528748955747843
Andorra,54509.0,56671.0,58888.0,60971.0,62677.0,63850.0,64360.0,64327.0,64142.0,64370.0,65390.0,67341.0,70049.0,73182.0,76244.0,78867.0,80991.0,82683.0,83861.0,84462.0,84449.0,83751.0,82431.0,3.815002382170775,3.7647738079065345,3.416378278197832,2.7218916029803597,1.8371182458888018,0.7924176507147296,-0.05130038708473891,-0.28842256243958714,0.354202268137331,1.5598715399908243,2.897194873850997,3.865865322845437,4.281107376130742,4.0160537222601125,3.32585238439398,2.622513612623625,2.046369870469141,1.4047054053731771,0.7115625961971064,-0.015393906381366267,-0.8334228845028716,-1.6013393019616406
Arab World,224735446.0,230829868.0,235037179.0,241286091.0,247435930.0,255029671.0,260843462.0,266575075.0,272235146.0,277962869.0,283832016.0,289850357.0,296026575.0,302434519.0,309162029.0,316264728.0,323773264.0,331653797.0,339825483.0,348145094.0,356508908.0,364895878.0,373306993.0,2.6402224516283135,1.7900619033552987,2.589835151334935,2.4854268335241367,2.977591183890129,2.228842906555197,2.150093364880419,2.079111049092831,2.0606072388754915,2.067824159766388,2.076361423974372,2.0863728197375524,2.1187872406853137,2.1760466580454483,2.2458081383011512,2.319072275220353,2.3761323016000326,2.4046713412601846,2.3896964637393396,2.3460322623972134,2.2984556706886123,2.2531362009604785
United Arab Emirates,1860174.0,1970026.0,2086639.0,2207405.0,2328686.0,2448820.0,2571020.0,2700010.0,2838145.0,2988162.0,3154925.0,3326032.0,3507232.0,3741932.0,4087931.0,4579562.0,5242032.0,6044067.0,6894278.0,7666393.0,8270684.0,8672475.0,8900453.0,5.576170060699707,5.588556525589716,5.470948919659056,5.208130250278483,4.905791360737008,4.752977417523006,4.777389713371432,4.867087481435938,5.020377074603051,5.285799186985428,5.144478465631119,5.166467459238511,6.272161012011977,8.463914875275536,10.735327963678623,12.637656542348463,13.269790027145628,12.33212527838303,10.07142472346513,7.306421089235184,4.632945035874996,2.561420188388164
Argentina,32729739.0,33193918.0,33655151.0,34110917.0,34558115.0,34994814.0,35419682.0,35833969.0,36241590.0,36648068.0,37057452.0,37471509.0,37889370.0,38309379.0,38728696.0,39145488.0,39558890.0,39970224.0,40382389.0,40799407.0,41223889.0,41656879.0,42096739.0,1.3983856922222921,1.3704677777259118,1.3361294274205526,1.2940462753827864,1.2478963311535247,1.1995251679560532,1.1561292582465537,1.1247326621155418,1.1091389592488206,1.1047278695793763,1.1049915283635894,1.1028449404146863,1.096360763248081,1.0827036366006229,1.0647255183023903,1.045029322106864,1.0291010628311714,1.0206553158605847,1.022117796957196,1.0296990659954475,1.0394201639541936,1.0448790344544265
Armenia,3538165.0,3505251.0,3442810.0,3363098.0,3283660.0,3217342.0,3168215.0,3133086.0,3108684.0,3089017.0,3069588.0,3050655.0,3033897.0,3017806.0,3000612.0,2981259.0,2958500.0,2933056.0,2908220.0,2888584.0,2877311.0,2875581.0,2881922.0,-0.9389912448495128,-1.8136638385504864,-2.3701955756269966,-2.419190781018741,-2.061266722654912,-1.5506207754208599,-1.1212268032221266,-0.7849623827960641,-0.6366750328664427,-0.6329513928253564,-0.6206208174965704,-0.5523588968247769,-0.5332019354458173,-0.5730164379799854,-0.6491552729903708,-0.7692749704242015,-0.8674911082502346,-0.8539931642035333,-0.6797794351834671,-0.3917894172718903,-0.06016175513748353,0.22002677379887448
American Samoa,47038.0,48375.0,49593.0,50720.0,51803.0,52868.0,53929.0,54941.0,55901.0,56770.0,57521.0,58175.0,58731.0,59117.0,59264.0,59118.0,58650.0,57903.0,57030.0,56227.0,55637.0,55320.0,55230.0,2.763824289405685,2.4559917730324843,2.2220031545741326,2.0906125127888346,2.0144510857229325,1.9674015835635745,1.8419759378242115,1.7173216937085203,1.5307380658798662,1.305610124997827,1.1241942415126773,0.9466891420203981,0.6529424700170847,0.248042656587473,-0.24696369971920568,-0.7979539641943734,-1.29008859644578,-1.5307732772225144,-1.4281395059313142,-1.0604453870625663,-0.5730296456977585,-0.16295491580662683
Antigua and Barbuda,66696.0,67307.0,68427.0,69938.0,71719.0,73619.0,75628.0,77739.0,79851.0,81831.0,83584.0,85057.0,86266.0,87293.0,88257.0,89253.0,90301.0,91381.0,92478.0,93581.0,94661.0,95719.0,96777.0,0.9077807657450192,1.6367808028994402,2.1604850010008865,2.483302890447441,2.580855485676252,2.6564235468345054,2.715496726224932,2.6449261750009394,2.4196209260549177,2.09729134762634,1.731779865266821,1.4014791458975726,1.1764975427582969,1.0922646362328199,1.115928876340291,1.160563005946778,1.181864939101126,1.1862280758666925,1.1786580609311719,1.140913364532384,1.1053186932583918,1.093234962852744
